code_etab;nom_etab;telephone;e_mail;nom_proprio;nom_directeur;code_type_affiliation;type_affiliation;nif;foko_etab
503030003;ECOLE PRIVEE SALOMA;034 38 532 48;ainajaona@gmail.com;ANDRIANOHAVY VELOARISOAFARANIAINA;ANDRIANOHAVY VELOARISOAFARANIAINA;11;NON AFFILIÉ;;5030307
503031004;ECOLE PRIVEE AKANY FANEHOANTSOA;034 40 587 96;noroharivelozafimbola@gmail.com;RASOAMAMPIONONA SOLOTIANA BEMOIT;RAMAROSON RAHARINIRINA PAULETTE;11;NON AFFILIÉ;;5030201
503041002;ECOLE PRIMAIRE PRIVEE FANANTENANA;034 33 994 88;;RAHANTANIRINA FLORENCE;RAHANTANIRINA FLORENCE;8;DN/ELM;;5032204
503041010;ECOLE PRIVEE SAINT JOSEPH AMBATOSORATRA;034 49 323 20;;SŒURS CARMELITES DE SAINTE THERESE DE TURIN;SŒUR RAVAONASOLO MARIE PIERRETTE;1;DINEC;;5030401
503041012;ECOLE PRIVEE MERE DE DIEU ANDREBA GARE;034 49 323 20;;SŒURS  CARMELITES DE SAINTE THERESE DE TURIN;SŒUR RAZAFINDRAKOTONIRINA MARIE JULIETTE;1;DINEC;5000128951;5030403
503041013;ECOLE PRIVEE OMEGA ANDRANOMENA;034 91 717 29;;JOHARINIRINA RAKOTORAHALAHY IMANOELA;JOHARINIRINA RAKOTORAHALAHY IMANOELA;8;DN/ELM;;5032206
503041014;ECOLE PRIVEE SAINTE BARBARA AMBOHITSARATANY;034 97 937 04;;ARCHI_DIOCESE ORTHODOXE;RAZAFINDRAVOLA Violette Soaviniaina Voahanginirina;8;DN/ELM;;5032201
503041016;ECOLE PRIVEE FILADELFIA;034 01 583 26;;AMADE FATIMA;AMADE FATIMA;5;DN/ADVENTISTE;;5032203
503041018;ECOLE PRIVEE LES ETOILES;034 84 165 82;;BRUNO Eugène;BRUNO Eugène;8;DN/ELM;;5032203
503041019;ECOLE PRIMAIRE PRIVEE LES DELICES;034 84 165 82;;BRUNO Eugène;BRUNO Eugène;8;DN/ELM;;5030401
503041021;LA NATIVITE;034 43 283 51;;EGLISE ORTHODOX;RAHARILANDINIRINA OLISOA ELIE;8;DN/ELM;;5030403
503041022;ECOLE PRIVEE SAOTRA;034 96 671 53;;RAZANAMIARINA Maminiaina Mirana Holda;RAZANAMIARINA Maminiaina Mirana Holda;8;DN/ELM;;5030403
503050013;LYCEE PRIVE FAHOMBIAZANA;034 29 072 42;;RAKOTOARILALA Zafimaharo;HAJANAVALONA Fiononantsoa Nantenaina Rachele;11;NON AFFILIÉ;;5030505
503051001;ECOLE PRIMAIRE PRIVEE KOLOKOLO AMBOHITSILAOZANA;034 61 354 09;;;ANDRIANTAFITA Rado Herivelo;8;DN/ELM;;5030505
503051003;ECOLE PRIMAIRE PRIVEE TANAMASOANDRO;;;RANDRINDRA BAKOVOLOLONA;RANDRINDRA BAKOVOLOLONA;11;NON AFFILIÉ;;5030509
503051004;ECOLE PRIVEE ENFANT DE JESUS AMBOHIPASIKA;034 04 464 41;;Pére DEHONIEN Andreba Gare;RAHANTAMALALA Jocelyne;1;DINEC;;5030503
503051005;ECOLE PRIVEE NAMBININTSOA;034 79 683 63;;MANGALAHALA;BODONIRINA RAKOTORAHALAHY LYDIA JOSEPHINE;8;DN/ELM;;5030505
503051006;ECOLE PRIVEE AHITANTSOA;034 89 714 66;;EP AHITANTSOA;RAMBELOARISOA MARIE MARTINE;11;NON AFFILIÉ;;5030505
503051008;ECOLE PRIMAIRE PRIVEE SAINTE MARIE IMMACULE;034 24 612 91;;EKAR AMBOHIMANGA;RAFALIMANANA RIJA THERSON BIENVENUE;1;DINEC;;5030502
503051009;ECOLE PRIVEE FANANTENANA AMBOHIMANGA;034 85 544 61;;RAHARINIRINA MIANDRISOA FELATIANA;RAHARINIRINA MIANDRISOA FELATIANA;11;NON AFFILIÉ;;5030502
503051013;ECOLE PRIVEE NY SEKOLINTSIKA;;;;;2;DN/FJKM;;5030502
503061001;ECOLE PRIMAIRE PRIVEE LA LUMIERE;034 55 953 26;;RAZANATSIMBA VOAHIRANA ;RAZANATSIMBA VOAHIRANA;8;DN/ELM;;5030608
503061002;ECOLE PRIMAIRE PRIVEE L'AVENIR;034 55 070 85;;RAKOTOJAONA JEAN JOUX;RAKOTOJAONA JEAN JOUX;11;NON AFFILIÉ;;5030607
503070101;ECOLE PRIVEE SAINT JOSEPH;034 43 700 43;;;RASOAMARONIRINA DOMOINA ELODIE;1;DINEC;;5030701
503071001;ECOLE PRIMAIRE PRIVEE CATHOLIQUE TSIMIALONJAFY;034 65 921 03;; MISSION   CATHOLIQUE;PERECLAUDE ROLLAND RAZAFINDRABE;1;DINEC;;5030703
503071003;ECOLE PRIVEE LIFE'S SPRING;034 29 693 96;; RAKOTOARIJAONA  Martin  Prosper ;RAKOTOARIJAONA  Martin  Prosper;8;DN/ELM;;5030703
503071004;ECOLE PRIVEE MIARINTSOA;034 99 100 13;;RASOAMAHAFALY Helene;RASOAMAHAFALY Helene;8;DN/ELM;;5030707
503071005;ECOLE PRIVEE SALOHY;034 49 609 42;;Mmme RAZANANIRINA Rasoazanamanana Saholy;Mmme RAZANANIRINA Rasoazanamanana Saholy;8;DN/ELM;;5030701
503071007;ECOLE PRIVEE MANAMPISOA;034 50 266 98;;RAZANARISOA NOELINE;RAZANARISOA NOELINE;8;DN/ELM;;5030701
503071008;ECOLE PRIVEE NIARETANTSOA;034 19 124 11;; RASOAMIARINARIVO Hanitramalala; RASOAMIARINARIVO Hanitramalala;11;NON AFFILIÉ;;5030703
503071009;ECOLE PRIVEE RAINISOALAMBO;;;FFSM;HANITRINIAINA Angela;6;FFSM;;5030701
503071015;ECOLE PRIVEE ZO TSARA;034 86 358 53;;RAZAFITSALAMA Herinandrasana Septino;RAMBELOSON Mamiharivola;11;NON AFFILIÉ;;5030702
503071016;ECOLE PRIMAIRE PRIVEE FANOLORANTSOA;034 99 050 01;;RAMAROLAFY Bernard Lucien;VAOMANARIVO Clermontine;8;DN/ELM;;5030701
503071017;ECOLE PRIVEE EXCELLENCE;034 27 210 69;;RAMAMIARINOSY HAINGO VALISOA;RANDRIANANTOANINA JEAN BOSCO;8;DN/ELM;;5030701
503071020;ECOLE PRIVEE SAINT AUGUSTIN AMBONIVOHITRA;034 57 577 55;;MISSION CATHOLIQUE;RAZAFIMAHATRATRA Tafika Tsaroana Lalaina;1;DINEC;;5030704
503081001;LYCEE PRIVE DE LA SAINTE TRINITE;034 39 535 34;;Congrégation des Sœurs Trinitaires;RAVAONARIVO Berthe;1;DINEC;;5030806
503081002;COLLEGE PRIVE LA NOUVELLE GENERATION;034 36 216 18;;DAFINELINA JOCELYN GLORIA;;10;AILE;;5030812
503081004;PRESCOLAIRE PRIVE MIOTISOA AMBODINONOKA;034 37 529 12;;RAKOTOMALALA Hery Vololona Arisoa;RAKOTOMALALA Hery Vololona Arisoa;11;NON AFFILIÉ;;5030802
503091001;ECOLE PRIVEE LA FLECHE;034 98 212 02;;RASOAMIANDRY;DIRECTEUR;8;DN/ELM;11223;5030904
503101003;ECOLE PRIMAIRE PRIVEE AVENIR MODERNE INFO EXELLENT (AMIE);034 96 904 83;;DEZY Martino;RANDRIAMISATA Tahiriniaina Eernest;11;NON AFFILIÉ;;5031004
503101005;COLLEGE PRIVE LA SOURCE;034 95 145 74;aurelienrajoelison@gmail.com;RAJOELISON Aurélien Nirina;RAHARINIRINA Todisoa;8;DN/ELM;;5031004
503111001;ECOLE PRIVEE MIRAY ANTSANGASANGA;034 94 081 99;;RAVONIARIZAKA SUZANNE;RAVONIARIZAKA SUZANNE;8;DN/ELM;;5031102
503111003;ECOLE PRIVEE LES PROGRES;034 91 700 96;;RAKOTOARIVONY Daniel;RANDRIANOTRONINA Tongasoa;11;NON AFFILIÉ;;5031102
503111004;ECOLE PRIMAIRE PRIVEE EZAKA ANTSANGASANGA;034 61 372 77;;RAHAJASON ROLLAND;RAZHAJASON ROLLAND;4;DN/FLM;;5031102
503111006;ECOLE PRIVEE IORENANTSOA TSARASOKITRA;034 21 878 05;;RAHELIARIVAO RAYMONDE;RAHELIARIVAO RAYMONDE;8;DN/ELM;;5031104
503120019;ECOLE PRIVEE DE LA SAINTE TRINITE;034 43 379 49;;SAINTE TRINITE ;RASENDRASOA ;1;DINEC;;5031204
503121003;ECOLE PRIVEE FIOMBONANTSOA;034 97 951 61;;RASOLOHARINAIVO LUC EDWARD;RASOLOHARINAIVO LUC EDWARD;8;DN/ELM;;5031207
503121004;AKANY AMBININTSOA BEJOFO;034 09 084 98;;RAVAVINIRINA  Marie Helene;RAVAVINIRINA  Marie Helene;7;DN/EPM;;5031204
503121005;AKANY SAMBATRA;034 15 083 50;;RAZAFIARIMANANA EMILIENNE;RAZAFIARIMANANA EMILIENNE;11;NON AFFILIÉ;;5031203
503121007;ECOLE PRIVEE FIORENANA;034 52 809 00;;RAHARIMALALA Nirina Mamisoa ;ANDRIATSEHENO Bako  Narahintsoa ;9;SMT/MADAGASCAR;;5031203
503121008;ECOLE PRIVEE LA CONFIANCE;034 15 289 88;francky.ljfc@gmail.com;ANDRIAMAMPIANINA ZO ANDRY LIVA;RAKOTONDRAZAFY ANDRIANANTENAINA FRANCKY;8;DN/ELM;;5031204
503130301;ECOLE PRIVEE LOVASOA;;;RAHARIMANJAKA JOLIE MARIE;RAKOTONDRAVAO MBOLATIANA;11;NON AFFILIÉ;;5031303
503131001;ECOLE PRIMAIRE PRIVEE GOCHEN;033 09 225 75;;RAKOTOARIMANANA Yannie;RAKOTOARIMANANA Yannie;11;Non affilié;;5031303
503131002;ECOLE PRIVEE MITSINJO;034 01 591 39;;RASOAMANAMPY ANGELINE;RASOAMANAMPY ANGELINE;7;DN/EPM;;5031303
503131007;ECOLE PRIMAIRE PRIVEE GESELL PRIVATE SCHOOL;034 06 552 31;;ANDRIANJAKARISETRA BIENVENU SETH;RABESON HANITRINIAINA EMMA VALENTINE;8;DN/ELM;;5031303
503131008;ECOLE PRIMAIRE PRIVEE MANOVOSOA;034 01 591 39;;RASOAMANAMPY ANGELINE;RASOAMANAMPY ANGELINE;11;NON AFFILIÉ;;5031313
503131009;ECOLE PRIVEE ADVENTISTE MARANATHA;034 02 500 81;;RASOARIMANANA AIMEE;RASOARIMANANA AIMEE;5;DN/ADVENTISTE;;5031313
503131012;ECOLE PRIVEE FJKM DIDY NAZARETA;034 17 394 78;;CP FJKM DIDY NAZARETA;RAHARIVELO LAURETTE;2;DN/FJKM;;5031303
503131014;ECOLE PRIVEE FIOTAZANTSOA;033 49 725 33;;FPVM MADAGASCAR;RAKOTOMALALA joaharisoa julien;11;NON AFFILIÉ;;5031308
503131015;ECOLE PRIMAIRE PRIVEE LANTERNE;033 43 900 07;;RAVELOMILANTSOA Albine Marinah;HERINIAINAFANOMEZANTSOA Esperant Jean Luc;11;Non affilié;;5031303
503131017;ECOLE PRIMAIRE PRIVEE CELEBRATE;034 71 096 61;;RAKOTONIRINA Jean Fidèle;RAMBOAHERISALAMA Hajarizafy Farasoa;11;NON AFFILIÉ;;5031304
503131020;ECOLE PRIVEE EZAKA;034 98 208 64;;RAVONIARISOA ANGELINE;RAVONIRISOA ANGELINE;11;NON AFFILIÉ;;5031313
503141001;ECOLE PRIVEE FANOVOZANTSOA MANGALAZA;034 18 162 66;;RASOARILALAO;RASOARILALAO (EP) FANIRIMALALA Erma Gloriat (CP);8;DN/ELM;;5031410
503141002;ECOLE PRIMAIRE PRIVEE MIKENDRY;034 53 792 14;;RASOARIMANJATO JULIETTE;RASOARIMANJATO JULIETTE;11;NON AFFILIÉ;;5031410
503151001;ECOLE PRIVEE LES CARILLONS;034 47 749 53;;RANDRIANARITOMPO HANITRINIAINA NOROSARIAKA MAMY FLEURIS;RANDRIANARITOMPO HANITRINIAINA NOROSARIAKA MAMY FLEURI;7;DN/EPM;;5031506
503151002;ECOLE PRIVEE FANAMBY;034 85 343 63;;RAFANOMEZANTSOA MAMY JULIE;RAFANOMEZANTSOA MAMY JULIE;8;DN/ELM;;5031509
503151003;ECOLE PRIMAIRE PRIVEE FANAVAOZANA;034 84 593 53;;MAHOLIMANANA Julia;RANDRIANAIVOMANANA Julien;8;DN/ELM;;5031506
503151006;COLLEGE PRIVE LOVASOA;034 28 225 44;;RAVELOARIMANANA FELIX;RAKOTONANDRASANA ROLOJANAHARY DIMBIARIVONY;8;DN/ELM;;5031506
503161002;ECOLE PRIVEE SAINTE THERESE IMERIMANDROSO;034 25 692 15;;COLLEGE SAINTE THERESE;RASOAMBOLAHERIMINA Violette ;1;DINEC;;5031609
503161003;SEKOLY FJKM IMERIMANDROSO;034 97 862 26;;FJKM;RAVELOJAONA VONJIARISOA ANDRIAMIRAVAKA;2;DN/FJKM;;5031609
503161004;ECOLE PRIVEE MON NID;034 40 906 12;;ANDRIAMIARISON RAHARIMANANA;ANDRIAMIARISON RAHARIMANANA;9;SMT/MADAGASCAR;45;5031606
503161005;ECOLE PRIMAIRE PRIVEE FANDRESENA;034 43 865 62;;TIANA AIMEE JULIE;TIANA AIMEE JULIE;8;DN/ELM;;5031603
503171002;ECOLE PRIVEE MARISIKA;034 60 057 13;;RANDRIAMIARISOA JEAN;RANDRIAMIARISOA JEAN;8;DN/ELM;;5031705
503181001;ECOLE PRIMAIRE PRIVEE BAKOMANGA;034 64 206 41;;RAKOTONDRAZAFY EMMANUEL;RAKOTONDRAZAFY EMMANUEL;7;DN/EPM;;5031802
503181002;ECOLE PRIMAIRE PRIVEE LE BAMBINO;034 69 051 88;;RATOHAMANIRISON Jean Marc Théodore;RANDRIANARIMANANA Marie Dorothée;7;DN/EPM;;5031802
503181003;ECOLE PRIVEE MANAMPISOA;034 21 242 50;;RANDRIANAMPIANA;RANDRIANAMPIANA;8;DN/ELM;;5031814
503181004;AKANY FANOVOZANTSOA;034 75 125 68;;MARIE ODETTE RAHARINOSY;RAZAFIMAHANDRY NICOLE;8;DN/ELM;;5031810
503181005;ECOLE PRIVEE FITIAVANA;034 67 111 66;;ANDRIAMAROVOLOLONA;ANDRIAMAROVOLOLONA Anjaniaina;11;NON AFFILIÉ;;5031809
503181006;COLLEGE PRIVE L'ESPERANCE;034 87 669 89;Bodo_Zohary@yahoo.fr;ANDRIANTSOA RAKOTONIAINA;ANDRIANTSOA RAKOTONIAINA;9;SMT/MADAGASCAR;;5031809
503181009;ECOLE PRIVEE CATHOLIQUE BIENHEUREUX PERE JUSTIN;034 71 749 40;albertmandefitra@gmail.com;soeursvocationistes;RAZANAMAHALEFITRA MARIE ALBERTINE;1;DINEC;;5031810
503181011;ECOLE PRIVEE CATHOLIQUE VICTOIRE RASOAMANARIVO;034 66 107 49;;MISSION CATHOLIQUE ;RABENARISOA Philéon;1;DINEC;;5031808
503181012;ECOLE PRIMAIRE PRIVEE MAHENINTSOA;034 53 376 57;;DIARITIANA TODY SAFIDY;DIARITIANA TODY SAFIDY;8;DN/ELM;;5031804
503181013;COLLEGE PRIVE L'AVENIR;034 61 316 13;rangorilahytheomamisoa@gmail.com;RANDRIANAMPIANA;RAKOTONDRATELO Sombinoliva Ony;8;DN/ELM;;5031814
503181014;ECOLE PRIVEE FANORENANTSOA;034 14 253 53;;MASINTORO MANOHISOA HERMANNE;MASINTORO MANOHISOA HERMANNE;11;NON AFFILIÉ;;5031101
503181016;ECOLE PRIMAIRE PRIVEE LE PETIT NID;034 04 774 22;;RAZAFINDRAHIRATRA PAULINE;RANDRIANASOLO PIERRE;8;DN/ELM;;5031808
503181017;LYCEE PRIVE LA LUMIERE;034 61 318 24;;RATSARASOA CHARLES JEANNOT;RALINORO BERTHINE;8;DN/ELM;;5031802
503181021;ECOLE PRIVEE NY SAKAIZA;034 69 472 05;;VOLOLONATOANDRO ROSELYNE;VOLOLONATOANDRO ROSELYNE;9;SMT/MADAGASCAR;;5031814
503190301;ECOLE PRIVEE SAINT JOSEPH;034 67 300 53;;RASOLOMANANJARA  THERESE DE L'ENFANT JESUS;RASOLOMANAJARA THERESE DE L'ENFANT JESUS;11;NON AFFILIÉ;;5031903
503191002;SEKOLY FJKM MAHATSARA;034 31 779 31;;FJKM MAHATSARA;RAVONIRINA HENINTSOA CLARISSE;2;DN/FJKM;;5031902
503191003;ECOLE PRIVEE BALSAMA;034 37 993 59;;RANAIVOSON MAMIHARILAZA JOEL;RABEARIVONIARISON REMI;8;DN/ELM;;5031904
503191005;ECOLE PRIVEE FJKM AMBATOFOTSY;034 95 703 25;;FJKPM;RASIHEVONDRASOHERINARIVO;2;DN/FJKM;;5031902
503201003;ECOLE PRIVEE FJKM AKANY FAMONJENA;034 69 957 34;;FJKM FIHOBIAM-PAMONJENA TANAMBAO-BESAKAY ;RAMANOHISOANIRINA NATACHA;2;DN/FJKM;;5032004
503201004;ECOLE PRIVEE SACRE-COEUR;034 74 131 99;;SŒURS DISCIPLESASACRE-CŒUR;Sr RAZAZAROHAVANA VOLOLONIRINA ROSELYNE;1;DINEC;;5032004
503201005;ECOLE PRIVEE MANAMPISOA;034 16 578 56;;RANDRIAMBOLARIVO JOASY ANDRY NAVALONA;RANDRIAMBOLARIVO JOASY ANDRY NAVALONA;11;NON AFFILIÉ;;5032002
503210301;ECOLE SAINTE THERESE ORSINE ;034 15 741 60;;;RANDRIANIRINA MAMY FALIANA JEANNISSA;11;NON AFFILIÉ;;5032103
503221001;ECOLE PRIVEE LA SOURCE;034 78 120 47;;RASOANIMBONANA VOLOLONTIANA;RAHARIMANGA ANDONIAINA;8;DN/ELM;;5032203
503221002;LYCEE PRIVE FLEURS DES ENFANTS;034 56 948 19;;RAZAFINDRAVELO FEUR EMMA;RANDRIAMBOLA FLEUR;10;AILE;;5032203
503010001;ECOLE COMMUNAUTAIRE AMBODIATAFANA;034 43 575 14;;;;;;;5030103
503010002;ECOLE COMMUNAUTAIRE ANALABEHASINA;034 21 794 65;;;;;;;5031404
503010004;EPP BETOLOHO;034 08 136 86;;;;;;;5030104
503010007;ECOLE COMMUNAUTAIRE AMBANIALA;;;;;;;;5030102
503020002;ECOLE COMMUNAUTAIRE ANTSAHAMBARY;034 87 116 47;;;;;;;5030304
503020003;EPP AMBALABAKO;034 73 741 14;;;;;;;5030201
503020004;EPP AMBODIMANGA;;;;;;;;5030202
503020005;EPP AMBOHIMASINA;034 41 362 03;;;;;;;5030203
503020006;EPP AMBOHITRANJAKANA;034 09 267 44;;;;;;;5030303
503020007;EPP AMBONGABE;034 19 834 93;;;;;;;5030305
503020008;EPP AMPARABONGA;034 61 360 08;;;;;;;5030209
503020009;EPP AMPASAMBAZIMBA;034 33 440 07;;;;;;;5030204
503020010;EPP ANDINGADINGANA;034 48 662 61;;;;;;;5030306
503020011;EPP ANDRARABARY;034 02 233 24;;;;;;;5030307
503020012;EPP ANOSINDRAFILO;;;;;;;;5030205
503020013;EPP ANTANAMBEHIVAVY;034 50 090 84;;;;;;;5032103
503020014;EPP ANTSAHATANTERAKA;034 25 665 42;;;;;;;5030207
503020015;EPP MADIOTSIFAFANA;034 06 939 15;;;;;;;5030210
503020020;EPP MANARAPENITRA SABOTSY;034 51 464 54;;;;;;;5030207
503030001;ECOLE COMMUNAUTAIRE AMBOLOMBORONA;034 22 045 46;;;;;;;5030304
503030004;ECOLE COMMUNAUTAIRE AMBODIROTRA;034 79 639 72;;;;;;;5030303
503030005;ECOLE COMMUNAUTAIRE AMBODIVOARA;034 87 117 57;;;;;;;5030301
503040002;ECOLE COMMUNAUTAIRE RANOFOTSY;034 38 769 93;;;;;;;5032202
503040003;EPP AMBATOMANGA;034 38 113 00;;;;;;;5032201
503040004;EPP AMBATOMASINA;034 40 540 34;;;;;;;5032202
503040005;EPP AMBATOSORATRA;034 68 703 25;;;;;;;5030401
503040006;EPP AMBOHIDAVA;034 45 955 65;;;;;;;5032203
503040007;EPP AMBOHIDAVAKELY;034 22 675 60;;;;;;;5030402
503040008;EPP AMBOHIMANJAKA;034 64 216 37;;;;;;;5032202
503040009;EPP AMPARIHIMPONY;034 86 842 47;;;;;;;5032204
503040010;EPP ANDEONA;034 29 768 74;;;;;;;5030406
503040011;EPP ANDRANGORONA;034 62 887 96;;;;;;;5032205
503040012;EPP ANDRANOMENA;034 23 043 12;;;;;;;5032206
503040013;EPP ANDREBA GARE;034 83 339 74;;;;;;;5030403
503040014;EPP ANGOJA;034 64 389 10;;;;;;;5030404
503040015;EPP LOHAFASIKA;034 59 765 24;tojoarimiadana@gmail.com;;;;;;5030405
503040016;EPP VOHIDRAZANA-FIARENANA;034 77 186 35;;;;;;;5030406
503040018;ECOLE COMMUNAUTAIRE MAROFODY;034 64 138 52;;;;;;;5030405
503050002;EPP AMBODIVOARA;034 93 623 99;zafimanarivo@gmail.com;;;;;;5030501
503050003;EPP AMBOHIMANGA;034 01 766 76;;;;;;;5030502
503050004;EPP AMBOHIPASIKA;034 38 193 39;;;;;;;5030503
503050005;EPP AMBOHITRIESANA;034 80 177 96;;;;;;;5030504
503050006;EPP AMBOHITSILAOZANA;034 60 871 91;;;;;;;5030505
503050007;EPP AMBONGABE;034 70 772 06;;;;;;;5030509
503050008;EPP ANTANDROKOMBY;034 79 584 94;;;;;;;5030506
503050009;EPP MAHATSINJO;034 87 669 86;;;;;;;5030505
503050010;EPP MANGALAHALA;034 28 674 84;;;;;;;5030105
503050011;EPP MENALOHA;034 03 731 17;;;;;;;5030508
503050012;EPP TANAMBAO JIAPASIKA;034 12 497 19;;;;;;;5030509
503050014;ECOLE COMMUNAUTAIRE ANANDROBE;034 92 840 56;;;;;;;5030502
503060001;EPP AMBODISAKOANA;034 96 868 75;;;;;;;5030605
503060002;EPP ANTSAHALEMAKA;034 18 927 64;;;;;;;5030604
503060003;EPP AMBOHIBARY;034 80 274 85;;;;;;;5030602
503060004;EPP AMPANANGANANA OUEST;034 90 400 36;;;;;;;5030607
503060006;EPP ANDRANOMANGARIKA;034 65 037 21;;;;;;;5030604
503060007;EPP ANTSIRANDAVA;034 91 691 00;;;;;;;5030605
503060008;EPP BETSIANJAVA;034 46 580 02;;;;;;;5030606
503060009;EPP MAROSALAZANA;;;;;;;;5030607
503060010;EPP MORARANO;034 87 586 07;;;;;;;5030608
503060011;ECOLE COMMUNAUTAIRE ANKADILOVOKA;034 65 067 51;;;;;;;5030603
503060012;EPP AMPARIHINTSOKATRA;034 67 684 76;;;;;;;5030603
503070002;EPP AMBOHIBOATAVO;034 01 525 17;;;;;;;5030701
503070003;EPP AMBOHIBOROMANGA;034 12 134 48;;;;;;;5032101
503070004;EPP AMBOHIMENA;034 66 942 49;;;;;;;5030702
503070005;EPP AMBOHITANIBE;034 98 726 88;;;;;;;5030703
